iso_code,cooking,electricity,country_name,continent,gdp_per_capita,population,population_annotation
TGO,10.1,54.0,Togo,Africa,999.91,8478242.0,8.48
THA,83.6,100.0,Thailand,Asia,7448.99,69950844.0,69.95
TJK,82.4,99.78,Tajikistan,Asia,795.04,9749625.0,9.75
TKM,99.9,100.0,Turkmenistan,Asia,12273.66,6117933.0,6.12
TLS,13.6,96.12,Timor-Leste,Asia,1402.06,1343875.0,1.34
TON,84.1,100.0,Tonga,Oceania,5283.04,106759.0,0.11
TTO,100.0,100.0,Trinidad and Tobago,America,17920.96,1403374.0,1.4
TUN,99.8,100.0,Tunisia,Africa,3763.01,11935764.0,11.94
TUR,95.2,100.0,Turkey,Asia,8080.78,85042736.0,85.04
TUV,70.6,99.69,Tuvalu,Oceania,6046.53,11925.0,0.01
TZA,4.5,39.9,Tanzania,Africa,1260.06,61498438.0,61.5
UGA,0.5,42.07,Uganda,Africa,1060.43,47123533.0,47.12
UKR,94.9,100.0,Ukraine,Europe,4827.95,43814581.0,43.81
URY,100.0,100.0,Uruguay,America,18082.83,3485152.0,3.49
USA,100.0,100.0,United States,America,76027.04,331893745.0,331.89
UZB,84.25,100.0,Uzbekistan,Asia,2071.36,34915100.0,34.92
VCT,94.2,100.0,St. Vincent and the Grenadines,America,8595.21,111269.0,0.11
VEN,97.0,100.0,Venezuela,America,1823.6,28704947.0,28.7
VGB,,100.0,British Virgin Islands,America,,30423.0,0.03
VIR,,100.0,United States Virgin Islands,America,,105870.0,0.11
VNM,65.3,100.0,Vietnam,Asia,4121.5,98168829.0,98.17
VUT,7.6,67.33,Vanuatu,Oceania,3144.84,314464.0,0.31
WSM,36.5,100.0,Samoa,Oceania,4058.96,200144.0,0.2
XKX,,100.0,Kosovo,Europe,,1806279.0,1.81
YEM,61.5,73.76,Yemen,Asia,891.0,30490639.0,30.49
ZAF,86.8,84.39,South Africa,Africa,6979.44,60041996.0,60.04
ZMB,10.4,44.52,Zambia,Africa,1330.37,18920657.0,18.92
ZWE,30.4,52.75,Zimbabwe,Africa,2300.56,15092171.0,15.09
